CODIGO SINADA,MEDIO DE RECEPCION,DEPARTAMENTO,PROVINCIA,DISTRITO,FECHA DE REGISTRO,ACTIVIDAD ECONOMICA,AGUA,AIRE,SUELO,FAUNA,FLORA,POBLACION,EFLUENTES,RESIDUOS SOLIDOS,GASES/HUMO,MATERIAL PARTICULADO,TALA,RADIACION NO IONIZANTE,FUENTE VISUAL,FUENTE SONORA,INDIRECTA/DIRECTA/MIXTA,ESTADO
SC-0771-2019,TRA. DOCUMENTARIO,CAJAMARCA,CAJAMARCA,JESUS,25/07/2019,INDUSTRIA,0,1,0,0,0,0,0,0,1,1,0,0,0,0,DIRECTA,CERRADA
SC-0776-2019,WEB,LIMA,LIMA,SAN JUAN DE LURIGANCHO,26/07/2019,COMERCIO,0,1,0,0,0,0,0,0,1,0,0,0,0,0,INDIRECTA,CERRADA
SC-0775-2019,WEB,ANCASH,SANTA,CHIMBOTE,26/07/2019,COMERCIO,0,1,0,0,0,0,0,0,1,0,0,0,0,0,INDIRECTA,CERRADA
SC-0774-2019,TRA. DOCUMENTARIO,HUANUCO,HUANUCO,HUANUCO,26/07/2019,COMERCIO,0,0,0,0,0,1,0,0,0,0,0,0,0,1,INDIRECTA,CERRADA
SC-0773-2019,WEB,CUSCO,CUSCO,SAN SEBASTIAN,26/07/2019,INFRAESTRUCTURA,1,0,0,0,0,0,0,1,0,0,0,0,0,0,INDIRECTA,CERRADA
SC-0777-2019,WEB,AYACUCHO,VILCAS HUAMAN,CONCEPCION,26/07/2019,TRANSPORTE,1,0,1,0,0,0,0,1,0,1,0,0,0,0,INDIRECTA,CERRADA
ODAR-0014-2019,PERSONAL,AREQUIPA,AREQUIPA,YANAHUARA,31/07/2019,TRANSPORTE,0,0,0,0,1,1,0,0,0,1,0,0,0,0,INDIRECTA,CERRADA
SC-0780-2019,WEB,SAN MARTIN,SAN MARTIN,SAN ANTONIO,31/07/2019,SANEAMIENTO,1,0,0,0,0,0,1,0,0,0,0,0,0,0,INDIRECTA,CERRADA
SC-0779-2019,WEB,LA LIBERTAD,TRUJILLO,LA ESPERANZA,31/07/2019,INDUSTRIA,0,0,1,0,0,0,1,0,0,0,0,0,0,0,DIRECTA,CERRADA
SC-0778-2019,WEB,CUSCO,PARURO,CCAPI,31/07/2019,TRANSPORTE,0,1,0,0,0,0,0,0,0,1,0,0,0,0,INDIRECTA,CERRADA
SC-0781-2019,TRA. DOCUMENTARIO,LIMA,LIMA,MAGDALENA DEL MAR,31/07/2019,TELECOMUNICACIONES,0,1,0,0,0,0,0,0,0,0,0,1,0,0,INDIRECTA,CERRADA
MD-0003-2019,PERSONAL,MADRE DE DIOS,TAMBOPATA,TAMBOPATA,31/07/2019,MINERIA,1,0,1,1,1,1,0,0,0,0,1,0,1,0,INDIRECTA,CERRADA
ODAR-0015-2019,PERSONAL,AREQUIPA,ISLAY,ISLAY,1/08/2019,TRANSPORTE,0,1,0,0,0,1,0,0,0,1,0,0,0,1,INDIRECTA,CERRADA
ODMO-0011-2019,PERSONAL,MOQUEGUA,MARISCAL NIETO,MOQUEGUA,1/08/2019,INFRAESTRUCTURA,0,1,0,0,0,1,0,0,1,1,0,0,0,0,DIRECTA,CERRADA
SC-0784-2019,WEB,LORETO,REQUENA,REQUENA,2/08/2019,INFRAESTRUCTURA,0,1,1,0,0,0,0,1,0,0,0,0,0,0,DIRECTA,CERRADA
SC-0783-2019,WEB,PIURA,PIURA,CASTILLA,2/08/2019,AGRICULTURA,0,1,0,0,0,0,0,0,1,0,0,0,0,0,DIRECTA,CERRADA
SC-0787-2019,TRA. DOCUMENTARIO,ICA,PISCO,PARACAS,5/08/2019,MINERIA,0,1,0,0,0,0,0,0,1,1,0,0,0,0,DIRECTA,CERRADA
